filename,directory,extension,lines_count,words_count,symbols_count,commits_count,authors_count,creation_date,creation_author,modification_date,modification_author
Transformation,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,14,59,453,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Transformer,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,21,112,881,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Transformers,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,1421,4288,67629,3,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 17:24:03,I. Alshannikov
RegistrationMap,base/src/commonMain/kotlin/jetbrains/datalore/base/registration/,kt,60,158,1638,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
AsyncsPairTest,base/src/commonTest/kotlin/jetbrains/datalore/base/async/,kt,236,400,5358,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleAsyncRegistrationsTest,base/src/commonTest/kotlin/jetbrains/datalore/base/async/,kt,110,246,3019,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleAsyncTest,base/src/commonTest/kotlin/jetbrains/datalore/base/async/,kt,84,186,2397,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CompositesBetweenTest,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,133,391,3758,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CompositesCommonAncestorTest,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,80,231,2240,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
CompositesTest,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,397,798,10324,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleComposite,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,69,189,2082,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleCompositesTree,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,66,207,2765,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
TestComposite,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,66,203,2136,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
UpperLowerFocusableTest,base/src/commonTest/kotlin/jetbrains/datalore/base/composite/,kt,46,167,1328,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Base64Test,base/src/commonTest/kotlin/jetbrains/datalore/base/encoding/,kt,59,150,1578,3,2,07/30/19 17:36:56,I. Kupriyanov,07/21/20 19:33:40,I. Kupriyanov
TextDecoderTest,base/src/commonTest/kotlin/jetbrains/datalore/base/encoding/,kt,24,80,652,3,3,07/30/19 17:18:58,I. Kupriyanov,09/09/21 18:37:57,I. Krukov
ListMapTest,base/src/commonTest/kotlin/jetbrains/datalore/base/listMap/,kt,157,385,4075,3,2,05/28/19 21:21:27,I. Alshannikov,05/26/20 23:19:48,I. Kupriyanov
ListenersTestCase,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,116,251,3763,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
ListListenersTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,150,367,5092,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ObservableArrayListTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,130,310,3600,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
ObservableSingleItemListTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,57,129,1376,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
RecordingCollectionEventHandler,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,22,78,713,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SetListenersTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,76,188,2594,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
TreeListTest,base/src/commonTest/kotlin/jetbrains/datalore/base/observable/collections/,kt,51,154,1681,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
